Size,Sequential,Parallel_Chunked,Parallel_Interleaved,Threads
100000,0.000340,0.005610,0.006030,12
250000,0.000880,0.005079,0.003729,12
500000,0.001711,0.000111,0.004351,12
750000,0.003052,0.001241,0.002719,12
1000000,0.006084,0.001496,0.003793,12
2500000,0.012829,0.003790,0.007815,12
5000000,0.021289,0.008430,0.012820,12
7500000,0.028419,0.013077,0.018388,12
10000000,0.035383,0.016600,0.019775,12
25000000,0.080511,0.040150,0.044951,12
50000000,0.158581,0.080368,0.088498,12
